id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which are both confirmed in the provided context.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the provided context.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect and other conditions are met, but it does not mention the specific time frame for requesting a refund or the conditions for refunds on non-digital products.",4,Answers correctly but could provide more details about specific conditions under which digital products might be refundable.,5,Retrieved: 1/1 expected sources,4,"The model answer correctly states that digital products are generally non-refundable and mentions exceptions for manufacturer errors, but it lacks the specific mention of the types of digital products (license key, subscription) that are explicitly stated in the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 failed login attempts and the methods to unlock the account.,5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,4,"The model answer includes additional information about unlocking the account, which is a minor detail not present in the expected answer.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided context, including the timing for response, escalation, and updates.",5,"The answer directly and fully explains the escalation process for P1 incidents, detailing each step involved.",5,Retrieved: 1/1 expected sources,4,"The model answer provides a detailed escalation process for P1 incidents, including the roles of on-call engineer, Senior Engineer, and Lead Engineer, but it could be considered slightly verbose and includes additional steps that are not explicitly mentioned in the expected answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately summarizes the provided context regarding the approval matrix for system access, including its applicability to employees, contractors, and third-party vendors.",5,The answer directly addresses the question by explaining what an Approval Matrix is and its purpose in granting access rights within a company.,5,Retrieved: 1/1 expected sources,2,"The model answer provides a general description of the Approval Matrix but does not mention the current name change to 'Access Control SOP' or the specific document title, which are key points in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days and the requirement for Team Lead approval.",5,Answers the question directly and fully.,5,Retrieved: 1/1 expected sources,5,Covers all key points.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý có thể bao gồm việc tạo yêu cầu cấp quyền thông qua hệ thống Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately describes the ERR-403-AUTH error as related to access rights and correctly suggests creating an access request ticket through Jira, which is consistent with the provided context.",4,"The answer correctly identifies ERR-403-AUTH as a permission-related error and provides a method for resolution, but it could include more details about the nature of the error and additional troubleshooting steps.",,No expected sources,3,"The model answer provides a definition of the error and a suggested solution, but it lacks clarity on the authentication aspect and does not mention contacting IT Helpdesk, which is an important point in the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The response states that there is no information about an emergency refund process for VIP customers, which is not addressed in the provided context. The context only discusses the standard refund process without mentioning VIP customers or any emergency procedures.",2,The answer does not address the question about the process for urgent refunds for VIP customers and instead states a lack of information.,5,Retrieved: 1/1 expected sources,2,"The model answer does not address the lack of a special process for VIP customers and fails to mention the standard refund timeline of 3-5 business days, missing key points from the expected answer.",baseline_dense
